"","Handling","Offer","Choice","RT","Experiment.Time","Block"
"1",10,20,1,10.0197250843048,17.0623800754547,1
"2",10,4,0,1.02323794364929,28.1502649784088,1
"3",10,4,0,1.02044606208801,37.1976339817047,1
"4",10,8,1,10.0197908878326,55.2470200061798,1
"5",10,20,1,10.0302698612213,75.3245451450348,1
"6",10,8,0,1.01854610443115,86.3963980674744,1
"7",10,4,0,1.01889204978943,95.4461350440979,1
"8",10,20,1,10.0328681468964,113.510539054871,1
"9",10,8,0,1.01850390434265,124.579961061478,1
"10",10,4,0,1.01887798309326,133.630352973938,1
"11",10,20,1,10.0327889919281,151.744594097137,1
"12",10,8,0,1.01876902580261,162.813991069794,1
"13",10,4,0,1.0186128616333,171.863777160645,1
"14",10,20,1,10.0322930812836,189.927862167358,1
"15",10,20,1,10.0191080570221,209.998421192169,1
"16",10,8,0,1.02125597000122,221.067479133606,1
"17",10,8,0,0.833433866500854,229.929951190948,1
"18",10,4,0,1.02031993865967,238.983618974686,1
"19",10,4,0,1.01846504211426,248.032136201859,1
"20",10,20,1,10.032233953476,266.095426082611,1
"21",10,20,1,10.0323629379272,286.179507017136,1
"22",10,8,1,10.0326042175293,306.263184070587,1
"23",10,4,0,1.01856803894043,317.334221124649,1
"24",10,8,1,10.0326099395752,335.39802312851,1
"25",10,4,0,1.02081513404846,346.470592021942,1
"26",10,8,0,1.0207691192627,355.520635128021,1
"27",10,8,0,1.02075791358948,364.570278167725,1
"28",10,20,1,10.0326519012451,382.632941007614,1
"29",10,4,0,1.01844906806946,393.701832056046,1
"30",10,20,1,10.0166299343109,411.750159025192,1
"31",2,20,1,2.01868486404419,430.568147182465,2
"32",2,20,1,2.01868319511414,450.634868144989,2
"33",2,8,1,2.01849293708801,470.701774120331,2
"34",2,8,1,2.02225708961487,490.772207021713,2
"35",2,4,1,2.01823401451111,510.852110147476,2
"36",2,4,1,2.01812195777893,530.918781995773,2
"37",2,4,0,1.01872301101685,549.986721038818,2
"38",2,8,1,2.01848888397217,568.03669500351,2
"39",2,20,1,2.0273449420929,588.178974151611,2
"40",2,4,1,2.02217507362366,608.256865978241,2
"41",2,8,1,2.01893305778503,628.33803319931,2
"42",2,20,1,2.01848697662354,648.404371976852,2
"43",2,20,1,2.01869201660156,668.471744060516,2
"44",2,8,1,2.02248907089233,688.542330026627,2
"45",2,8,1,2.02170300483704,708.625011205673,2
"46",2,20,1,2.01924014091492,728.708223104477,2
"47",2,4,1,2.01814603805542,748.790169000626,2
"48",2,4,1,2.01804113388062,768.857480049133,2
"49",2,20,1,2.01914501190186,788.942273139954,2
"50",2,20,1,2.01827311515808,809.024434089661,2
"51",2,8,1,2.02211499214172,829.095393180847,2
"52",14,8,0,1.01836895942688,854.590406179428,3
"53",14,20,1,14.017765045166,872.640300035477,3
"54",14,20,1,14.021800994873,892.711296081543,3
"55",14,8,0,1.01869201660156,899.791728019714,3
"56",14,4,0,1.01877403259277,904.841462135315,3
"57",14,4,0,1.01885104179382,909.892196178436,3
"58",14,20,1,14.0317311286926,927.954838037491,3
"59",14,20,1,14.0331380367279,948.039872169495,3
"60",14,4,0,1.01866006851196,955.109287977219,3
"61",14,4,0,1.01870107650757,960.15945315361,3
"62",14,8,0,1.01870012283325,965.208903074265,3
"63",14,8,0,1.0183470249176,970.259275197983,3
"64",14,20,1,14.0314049720764,988.322327136993,3
"65",14,8,0,1.01923012733459,995.393512010574,3
"66",14,4,0,1.01847910881042,1000.4429090023,3
"67",14,20,1,14.0315780639648,1018.5063149929,3
"68",14,4,0,1.0186231136322,1025.57695603371,3
"69",14,8,0,1.01869797706604,1030.6268620491,3
"70",14,8,0,1.01879000663757,1035.67730617523,3
"71",14,4,0,1.01883697509766,1040.72726798058,3
"72",14,4,0,1.01873397827148,1045.77774620056,3
"73",14,8,0,1.01881217956543,1050.8272690773,3
"74",14,20,1,14.0319230556488,1068.89079713821,3
"75",14,20,1,14.0314741134644,1088.97405719757,3
"76",14,4,0,1.01830196380615,1096.14442801476,3
"77",14,8,0,1.02317118644714,1101.19934511185,3
"78",14,8,0,1.02115607261658,1106.24759697914,3
"79",14,4,0,1.02106904983521,1111.29750704765,3
"80",14,20,1,14.026309967041,1129.35292100906,3
"81",14,20,1,14.0224158763885,1149.43253111839,3
"82",14,20,1,14.0314390659332,1169.52446103096,3
"83",14,20,1,14.0319399833679,1189.60898804665,3
"84",14,4,0,1.03422617912292,1196.69546508789,3
"85",14,4,0,1.01880502700806,1201.74768304825,3
"86",14,8,0,1.01874494552612,1206.79816603661,3
"87",14,8,0,1.01861190795898,1211.84760212898,3
"88",14,20,1,14.0210349559784,1229.89791297913,3
"89",14,20,1,14.0313630104065,1249.99414014816,3
"90",14,8,0,1.01864099502563,1257.06519603729,3
"91",14,8,0,1.01867818832397,1262.11520314217,3
"92",10,8,1,10.032919883728,1288.72789812088,4
"93",10,4,0,1.01886010169983,1299.79792308807,4
"94",10,8,1,10.033059835434,1317.86245417595,4
"95",10,20,1,10.0324079990387,1337.94528007507,4
"96",10,4,0,1.01845908164978,1349.01473808289,4
"97",10,20,1,10.0198440551758,1367.06664204597,4
"98",10,8,1,10.0194451808929,1387.14979410172,4
"99",10,4,0,1.0212779045105,1398.2352399826,4
"100",10,8,1,10.032418012619,1416.29633498192,4
"101",10,20,1,10.0326869487762,1436.37995314598,4
"102",10,20,1,10.0323498249054,1456.46365118027,4
"103",10,4,0,1.01949000358582,1467.53453707695,4
"104",10,4,0,1.02144312858582,1476.58675599098,4
"105",10,20,1,10.0325870513916,1494.64801001549,4
"106",10,8,1,10.0327281951904,1514.73205208778,4
"107",10,8,0,0.175664186477661,1524.95875310898,4
"108",10,4,0,1.0186140537262,1534.00099110603,4
"109",10,20,1,10.0333590507507,1552.06594705582,4
"110",10,8,1,10.0322260856628,1572.14867210388,4
"111",10,8,0,0.0977129936218262,1582.29958319664,4
"112",10,20,1,10.028913974762,1600.36419200897,4
"113",10,4,0,0.425738096237183,1610.84455800056,4
"114",10,20,1,10.0320699214935,1628.9173951149,4
"115",10,4,0,0.36351203918457,1639.33269619942,4
"116",10,20,1,10.0162680149078,1657.38571119308,4
"117",10,8,1,10.0326879024506,1677.46904611588,4
"118",10,4,0,0.348114013671875,1687.86819314957,4
"119",2,8,1,2.01827192306519,1704.40345597267,5
"120",2,4,1,2.01866102218628,1724.4707570076,5
"121",2,4,1,2.01846408843994,1744.80869698524,5
"122",2,20,1,2.0184600353241,1764.87584900856,5
"123",2,20,1,2.01863789558411,1784.94274997711,5
"124",2,8,1,2.01885604858398,1805.00888204575,5
"125",2,8,1,2.02263808250427,1825.08065605164,5
"126",2,4,1,2.02299189567566,1845.29801511765,5
"127",2,8,1,2.02677512168884,1865.38550806046,5
"128",2,20,1,2.01839184761047,1885.47739720345,5
"129",2,4,1,2.03423094749451,1905.56019616127,5
"130",2,20,1,2.0227198600769,1925.63262414932,5
"131",2,20,1,2.02272605895996,1945.71626520157,5
"132",2,4,1,2.02217888832092,1965.79922199249,5
"133",2,8,1,2.02055621147156,1985.88128709793,5
"134",2,20,1,2.01820302009583,2005.96431803703,5
"135",2,4,1,2.02315592765808,2026.05275011063,5
"136",2,8,1,2.01969909667969,2046.13292598724,5
"137",2,8,1,2.01822400093079,2066.21504402161,5
"138",2,4,1,2.01891684532166,2086.28230214119,5
"139",2,8,1,2.0184121131897,2106.3657310009,5
"140",14,8,0,1.01881790161133,2132.14795899391,6
"141",14,8,0,0.503271818161011,2136.68295812607,6
"142",14,4,0,0.45798397064209,2141.17093515396,6
"143",14,20,1,14.0260691642761,2159.2225561142,6
"144",14,4,0,0.457475900650024,2165.73747801781,6
"145",14,20,1,14.026477098465,2183.79000902176,6
"146",14,4,0,0.473867893218994,2190.32093501091,6
"147",14,8,0,0.441922187805176,2194.78912711143,6
"148",14,4,0,0.442561149597168,2199.27319407463,6
"149",14,8,0,0.410596132278442,2203.707914114,6
"150",14,20,1,14.0234370231628,2221.78733897209,6
"151",14,20,1,14.0314650535583,2241.878895998,6
"152",14,8,0,0.425477981567383,2248.35662412643,6
"153",14,4,0,0.441953182220459,2252.8234000206,6
"154",14,4,0,0.316461086273193,2257.18136501312,6
"155",14,8,0,0.0977821350097656,2261.31246209145,6
"156",14,20,1,14.0313420295715,2279.37913012505,6
"157",14,20,1,14.0317988395691,2299.46341013908,6
"158",14,4,0,0.410033941268921,2305.9249651432,6
"159",14,8,0,0.253115892410278,2310.21848917007,6
"160",14,8,0,0.894669055938721,2315.14351320267,6
"161",14,20,1,14.0315291881561,2333.21378302574,6
"162",14,20,1,14.0314571857452,2353.29717206955,6
"163",14,4,0,0.346833944320679,2359.69623303413,6
"164",14,8,0,0.347340822219849,2364.08022403717,6
"165",14,20,1,14.0314400196075,2382.14746117592,6
"166",14,4,0,0.503140926361084,2388.70254611969,6
"167",14,4,0,0.472875833511353,2393.20571208,6
"168",14,20,1,14.0310699939728,2411.26403903961,6
"169",14,8,0,0.456178188323975,2417.77299213409,6
"170",14,4,0,0.487751960754395,2422.28720712662,6
"171",14,20,1,14.0260491371155,2440.34398508072,6
"172",14,20,1,14.0201170444489,2460.42237710953,6
"173",14,8,0,0.785897970199585,2467.27151203156,6
"174",14,8,0,0.503216028213501,2471.80516505241,6
"175",14,4,0,0.457083940505981,2476.29232811928,6
"176",14,4,0,0.472505807876587,2480.79117107391,6
"177",14,8,0,0.206676959991455,2485.02532815933,6
"178",14,4,0,0.394484996795654,2489.44658207893,6
"179",14,8,0,0.441237926483154,2493.92706298828,6
"180",14,20,1,14.0311698913574,2512.00058197975,6
"181",14,20,1,14.0313241481781,2532.08171105385,6
"182",14,20,1,14.0159800052643,2552.15252113342,6
